raw_affiliation_string;openalex_work_id;openalex_country;openalex_display_name;matched_country
Department of Pathology, University Hospital of Rennes, Rennes, France.;https://openalex.org/W2464794878;IE;University Hospital Waterford;FR
CNRS-LAAS, 7 avenue du colonel Roche, F-31400 Toulouse, France;https://openalex.org/W2541212567;CH;Roche;FR
Section for Obstetrics, Gynaecology and Andrology, Department for Small Animals and Horses, Vetmeduni Vienna, Veterinärplatz 1, 1210 Vienna, Austria.;https://openalex.org/W3065725854;GB;Vetco;AT
[Faculty of Engineering and Applied Science, Memorial University St. John's, NL, Canada];https://openalex.org/W3101957256;US;St. John's University;CA
CNRS-LAAS, 7 avenue du colonel Roche, F-31400 Toulouse, France;https://openalex.org/W2495396858;CH;Roche;FR
CEA, Leti, MINATEC Campus, F-38054 Grenoble, France;https://openalex.org/W2293065515;GB;Council for the Curriculum, Examinations & Assessment;FR
Department of Bioelectronics CMP-EMSE MOC 13541 Gardanne France;https://openalex.org/W2612742559;US;BioElectronics;FR
FEMTO-ST Institute / Applied Mechanics Department, 24 rue de l’Epitaphe, 25000 Besançon, France;https://openalex.org/W2537992028;US;Santa Fe Institute;FR
Centre National de la Recherche Scientifique and Université Paris-7;https://openalex.org/W2078282766;MA;Centre National de la Recherche Scientifique;FR
Equipe Rhizogenèse, UMR DIADE (IRD-UM), Institut de Recherche pour le Développement (IRD);https://openalex.org/W2262434787;BJ;Institut de Recherche pour le Développement;FR
Equipe Hultech - Laboratoire GREYC - UMR6072;https://openalex.org/W2251729931;DE;Technicolor;FR
Laboratory of Mechanics, Modelling and Manufacturing (LA2MP), National Engineering School of Sfax, Ministry of Higher Education and Research of Tunisia, Sfax, Tunisia;https://openalex.org/W2992766599;MY;Ministry of Higher Education;TN
Department of Engineering, Siemens Healthcare France, 93200 Saint-Denis, France;https://openalex.org/W3111001377;DE;Siemens Healthcare;FR
Siemens Healthcare France, 93210, Saint-Denis, France.;https://openalex.org/W3205474507;DE;Siemens Healthcare;FR
INSA/GPM UMR 6634;https://openalex.org/W2564554168;US;Intelligence and National Security Alliance;FR
Laboratory of Organic Electronics, Department of Science and Technology, Linköping University , SE-601 74 Norrköping, Sweden.;https://openalex.org/W2887856256;ZA;Department of Science and Technology;SE
Embedded Electronic Systems Research Institute Saint‐Etienne du Rouvray France;https://openalex.org/W2896289860;PL;Systems Research Institute;FR
Laboratory of Mechanics, Modelling and Manufacturing (LA2MP), National Engineering School of Sfax, Ministry of Higher Education and Research of Tunisia, Sfax, Tunisia;https://openalex.org/W2992766599;MY;Ministry of Higher Education;TN
ASTRE [Cergy-Pontoise];https://openalex.org/W2599530441;GB;Acergy;FR
Normandie Univ, UNIROUEN, INSA Rouen, CNRS, PBS, 76000, Rouen, France.;https://openalex.org/W2613198921;US;Intelligence and National Security Alliance;FR
AMME‐LECAP EA 4528 International Lab., Av. de l'Université́, BP12, Normandie Univ. FranceUniversité and INSA Rouen76801St Etienne du RouvrayFrance;https://openalex.org/W2500422547;US;Intelligence and National Security Alliance;FR
University of Brest, School of Medicine, Laboratoire Interactions Epithéliums-Neurones (Univ Brest, LIEN), F-29200 Brest, France.;https://openalex.org/W3093144289;CA;Interac;FR
Center for Ecology and Conservation Science, UMR7204-MNHN-CNRS-UPMC, National Natural History Museum;https://openalex.org/W2464943030;US;National Museum of Natural History;FR
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - CNRS-;https://openalex.org/W2605129970;MA;Centre National de la Recherche Scientifique;FR
University of Lyon, French Agency for Food, Environmental and Occupational Health and Safety (ANSES), Laboratory of Lyon, Epidemiology and Support to Surveillance Unit, Lyon, France.;https://openalex.org/W4226055457;AR;ANSES;FR
CNRS, IMFT, F-31400 Toulouse, France;https://openalex.org/W643467579;US;IM Flash Technologies;FR
IMRB INSERM, U955, Equipe 07, Faculté de Médecine, 8 rue du Général Sarrail, 94010 Créteil, France.;https://openalex.org/W1999191702;IN;IMRB International;FR
LGP, Ecole Militaire Polytechnique, Bordj El Bahri, Algeria;https://openalex.org/W3041378266;FR;École Polytechnique;DZ
Institut de Mécanique des Fluides de Toulouse (IMFT)-Université de Toulouse, CNRS-INPT-UPS, Toulouse France.;https://openalex.org/W2794225075;US;IM Flash Technologies;FR
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - CNRS-;https://openalex.org/W2969786383;MA;Centre National de la Recherche Scientifique;FR
Bristol-Myers Squibb, Princeton, NJ.;https://openalex.org/W2213251900;SE;Bristol-Myers Squibb;US
INTERACT Research Unit, UniLaSalle, 3 rue du Tronquet, 76130 Mont-Saint-Aignan, France, --- Select a Country ---;https://openalex.org/W3042437424;CA;Interac;FR
Interactive Autonomous DYnamic Systems [Roquefort];https://openalex.org/W4287863151;US;Dynamic Systems;FR
IATE, INRA;https://openalex.org/W2403612774;MA;Institut National de la Recherche Agronomique;FR
CRH, Research Unit EME (UMR 212);https://openalex.org/W1985389021;IE;CRH plc;FR
Tom Robinson, Theorie & Bio-Systeme, Max Planck Institute of Colloids and Interfaces, Max Planck Society;https://openalex.org/W3035771893;DE;Max Planck Institute of Colloids and Interfaces;US
Unité de Génétique Médicale et laboratoire associé INSERM à l’Unité UMR_S 910. Pôle Technologie Santé, Université Saint-Joseph BeirutLebanon;https://openalex.org/W2130918264;LB;Saint Joseph University;US
IMRB Inserm U955, Eq 18, University Paris-Est, Creteil, France;https://openalex.org/W2461537535;IN;IMRB International;FR
Brody School of Medicine, Department of Microbiology and Immunology, East Carolina University, Greenville, North Carolina, USA CPBS, CNRS UMR 5236, Université Montpellier 1, Montpellier, France.;https://openalex.org/W2029310937;US;East Carolina University;FR
Moving Magnet Technologies SA, 25000 Besançon, France;https://openalex.org/W2911536677;US;Manufacturing Advocacy & Growth Network;FR
Moving Magnet Technologies S.A;https://openalex.org/W4293347291;US;Manufacturing Advocacy & Growth Network;FR
Oxford Instruments NanoAnalysis, Gômetz-la-Ville, France.;https://openalex.org/W2902678695;GB;Oxford Instruments;FR
Framatome, 10 rue Juliette Récamier, 69006 Lyon, France;https://openalex.org/W3197970239;US;Orano;FR
Microsoft Research, Montréal, Canada#TAB#;https://openalex.org/W2810346659;US;Microsoft;CA
Georgia Tech Lorraine [Metz];https://openalex.org/W2250707538;FR;Georgia Tech Lorraine;GE
Orange Labs & Maluuba, Montréal, Canada;https://openalex.org/W2486334580;GB;Orange;CA
Laboratoire de Physique Théorique, Faculté de Physique, USTHB, BP 32 El Alia, Bab Ezzouar 16111, Algeria.;https://openalex.org/W2092829285;FR;Laboratoire de Physique Théorique;DZ
Laboratoire de Physique Théorique, Faculté de Physique, USTHB, BP 32 El Alia, Bab Ezzouar 16111, Algeria;https://openalex.org/W3189067777;FR;Laboratoire de Physique Théorique;DZ
Georgia Tech Lorraine [Metz];https://openalex.org/W2607924121;FR;Georgia Tech Lorraine;GE
Laboratoire de mécanique Biomécanique Polymère Structures, Ecole Nationale d'Ingénieurs de Metz, Université de Lorraine, 1 Route d'Ars Laquenexy, CS 65820, 57078, Metz Cedex 3, France.;https://openalex.org/W2322977620;DE;Metz;FR
University of Strasbourg, Research Unit7292, DHPI, IUT Louis Pasteur, Schiltigheim, France;https://openalex.org/W4200205057;LI;Hilti;FR
Orange Labs, Châtillon, France;https://openalex.org/W2738830855;GB;Orange;FR
Orange Labs, CERI-LIA#TAB#;https://openalex.org/W2578390274;GB;Orange;US
MINEA EA 7485 (université de Guyane);https://openalex.org/W4206891396;GF;University of French Guiana;FR
, Alcatel-Lucent Bell Laboratories, Nozay, France;https://openalex.org/W2010518674;DE;Alcatel Lucent;FR
Universit? de Lorraine, SRSMC (UMR CNRS 7565), 1 bld Arago, bat. ICPM 57078 Metz Cedex 3, France;https://openalex.org/W2267110176;DE;Metz;FR
LSMI, ENSAM Meknès, Marjane 2, Morocco;https://openalex.org/W3045447371;FR;Arts et Metiers Institute of Technology;MA
Institut de Recherche sur l'Energie Electrique de Nantes-Atlantique (IREENA) EA 4642;https://openalex.org/W2734692555;DE;Lantiq;FR
LINA UMR 6241, DUKe Research Group, DataForPeople, Nantes, France;https://openalex.org/W2235506842;GB;Durham University;FR
Physical Measurement Laboratory (P1E), Department for the Simulation and information Technologies for Power Generation Systems (STEP), EDF R&D, Chatou, France;https://openalex.org/W2267668150;US;Physical Measurement Laboratory;FR
UMR 1391 ISPA, INRA, Bordeaux Sciences Agro, Villenave d'Ornon, France;https://openalex.org/W2586395596;US;International Sleep Products Association;FR
INRA, UMR 1391 ISPA, Villenave D’Ornon, F-33140, France;https://openalex.org/W2896016552;US;International Sleep Products Association;FR
ISPA, Bordeaux Sciences Agro, INRA, 33140 Villenave d'Ornon, France;https://openalex.org/W2553790807;US;International Sleep Products Association;FR
Bordeaux Sciences Agro, INRA, UMR ISPA-1391, Villenave d’Ornon, France;https://openalex.org/W2752960160;US;International Sleep Products Association;FR
Safran Electronics and Defense, 26 avenue des Hauts de la Chaume, 86280 Saint-Benoît, France;https://openalex.org/W2996086042;CA;Safran Electronics;FR
(corresponding author) BIOGECO, INRA, Univ. Bordeaux, 33615 Pessac, France, nastasia.merceron@u-bordeaux.fr.;https://openalex.org/W2541139231;CZ;Mercer;FR
Laboratory of Organic Electronics (LOE), Department of Science and Technology (ITN), Campus Norrköping, Linköping University, SE-60174 Norrköping, Sweden;https://openalex.org/W3174222816;IN;Department of Science and Technology;SE
UMR 1302 SMART;https://openalex.org/W3158972259;US;Start Making A Reader Today;FR
Institut de Recherche pour le Développement, UMR 186 IPME (IRD-UM2-Cirad) 911, avenue Agropolis, BP 64501 34394 Montpellier Cedex 5, France.;https://openalex.org/W2603668765;BJ;Institut de Recherche pour le Développement;FR
Safran Electronics and Defense, 26 avenue des Hauts de la Chaume, 86280 Saint-Benoît, France;https://openalex.org/W2996086042;CA;Safran Electronics;FR
Laboratoire Matériaux, Traitement et Analyse, Institut National de Recherche et d’Analyse Physico-Chimique, Pôle Technologique de Sidi Thabet, 2020 Sidi Thabet, Tunisia;https://openalex.org/W2265236409;IT;SIDI;TN
INRA, ISVV, USC 1366 Oenologie;https://openalex.org/W2308541750;MA;Institut National de la Recherche Agronomique;FR
Catalonia Institute for Energy Research (IREC), Department of Advanced Materials for Energy, Jardins de Les Dones de Negre 1, 2nd Floor, Sant Adria de Besos, 08930 Barcelona, Spain;https://openalex.org/W3017664105;SI;Adria Airways;ES
Catalonia Institute for Energy Research (IREC), Department of Advanced Materials for Energy, Jardins de les Dones de Negre, 1, 08930 Sant Adrià de Besòs, Barcelona, Spain;https://openalex.org/W2988337600;SI;Adria Airways;ES
IREC, Catalonia Institute for Energy Research, Dept of Advanced Materials for Energy Applications, Jardins de les Dones de Negre 1, Sant Adrià del Besòs, 08930, Barcelona, Spain;https://openalex.org/W4309354608;SI;Adria Airways;ES
Centre d'études juridiques sur l'efficacité des systèmes continentaux - EA 4693;https://openalex.org/W4287268239;US;Continental;FR
Persei Consulting, Spain;https://openalex.org/W2149054392;US;IC Manage;ES
Université Paris Descartes - École de sages-femmes Baudelocque;https://openalex.org/W2968325958;GB;Sage;FR
Institut Camille Jordan [Villeurbanne];https://openalex.org/W2531140628;FR;Camille Jordan Institute;JO
Laboratoire d’Analyse Nonlinéaire et Mathématiques Appliquées, Univ. Tlemcen, Algeria.;https://openalex.org/W3094612822;FR;Laboratoire d’Analyse et de Mathématiques Appliquées;DZ
Normandie University, UNIROUEN, INSA Rouen, CNRS, COBRA, 76000 Rouen, France. anais.barre@insa-rouen.fr.;https://openalex.org/W2931069745;US;Intelligence and National Security Alliance;FR
Normandie Univ, UNIROUEN, INSA Rouen, CNRS, CORIA, 76000 Rouen (France);https://openalex.org/W2809280556;US;Intelligence and National Security Alliance;FR
Airbus Helicopter SAS (FRANCE);https://openalex.org/W4287183197;IN;Airbus;FR
Deutsch-Französisches Forschungs Inst, France;https://openalex.org/W2315685857;DE;Deutsch-Französisches Institut;FR
Scuola Superiore Sant'Anna and Paris School of Economics - University Paris 1;https://openalex.org/W2550324826;IT;Sant'Anna School of Advanced Studies;FR
Université Sidi Mohamed Ben Abdellah FSTF, LSSC, Faculté des Sciences et Techniques de Fès, Route Immouzzer, B.P. 2202, Fès-Maroc;https://openalex.org/W2206196363;IT;SIDI;MA
Laboratory of Signals, Systems and Components (LSSC)/ Laboratory of Information Sciences and Systems (LISS)#R##N#Faculty of Sciences and Technologies of Fez, Sidi Mohamed Ben Abdellah University, Fez, Morocco/Sud-Toulon-Var, University, France;https://openalex.org/W2742308399;MA;Sidi Mohamed Ben Abdellah University;FR
EOAA-CReA, BASE 701 - 13300 Salon de Provence, France;https://openalex.org/W2086683808;CA;Canadian Real Estate Association;FR
Laboratoire d'hématologie moléculaire et cellulaire, Institut Pasteur, Tunis, Belvédère, Tunisie.;https://openalex.org/W2619011658;FR;Institut Pasteur;TN
Recherches en Économie Gestion AgroRessources Durabilité Santé- EA 6292;https://openalex.org/W3124529409;NO;Econa;FR
MEDyC-Unité CNRS UMR7369, SFR CAP-Santé FED4231UFR de Pharmacie;https://openalex.org/W2491149198;MD;Unité;FR
Université de la Polynésie Française, UMR 241, BP 6570 Faa’a, 98702 Faa’a, Tahiti, Polynésie Française;https://openalex.org/W2890521222;PF;University of French Polynesia;FR
Institut de Recherche pour le Développement, UMR 9220 ENTROPIE (Institut de Recherche pour le Développement, Université de la Réunion, Centre National de la Recherche Scientifique), Arue, 98713, French Polynesia;https://openalex.org/W2760610504;FR;Institut de Recherche pour le Développement;RE
Ifremer, IRD, Univ Nouvelle-Calédonie, Univ LaRéunion, CNRS, ENTROPIE, F-98800 Nouméa, New Caledonia;https://openalex.org/W3082424635;FR;French Research Institute for Exploitation of the Sea;NC
UMR-9220 ENTROPIE, (IRD, Université de La Réunion, CNRS), Noumea, New Caledonia;https://openalex.org/W2767117356;RE;University of Reunion Island;NC
Institut de Recherche pour le Développement, UMR 9220 ENTROPIE (Institut de Recherche Pour le Développement, Université de la Réunion, Centre National de la Recherche Scientifique), Noumea, New Caledonia;https://openalex.org/W2623061869;FR;Institut de Recherche pour le Développement;NC
Laboratoire de Chimie des Substances Naturelles et des Sciences des Aliments (LCSNSA-EA2212), Université de La Réunion, 15, Avenue René Cassin – CS 92003, 97744 Saint-Denis cedex 9, France;https://openalex.org/W2800027261;RE;University of Reunion Island;FR
Antenne sud du laboratoire de chimie des Substances Naturelles et des Sciences des Aliments (LCSNSA), EA 2212, Université de la Réunion, UFR des Sciences et Technologies, Saint-Denis Cedex 9, France;https://openalex.org/W2783936720;RE;University of Reunion Island;FR
Laboratoire de Chimie des Substances Naturelles et des Sciences des Aliments (LCSNSA), Université de La Réunion, Avenue René Cassin-CS, 92003-97744, Saint-Denis Cedex 9, France.;https://openalex.org/W2592132942;RE;University of Reunion Island;FR
Laboratoire GéoSciences Réunion;https://openalex.org/W2280688774;FR;Géosciences Rennes;RE
Orange Labs, Orange - 2, Avenue Pierre Marzin, 22300 Lannion, France;https://openalex.org/W2184860569;GB;Orange;FR
Orange Labs, Orange - 2, Avenue Pierre Marzin, Lannion, France;https://openalex.org/W2520473963;GB;Orange;FR
Department of Urology, University Military Hospital Mohammed V. Rabat, Morocco.;https://openalex.org/W2120799556;PK;Military Hospital;MA
University Medical Center, Ho Chi Minh city;https://openalex.org/W3095080834;VN;University Medical Center HCMC;US
NEXIDIA S.A.S., Rue de Mayence 15, 21000, Dijon, France.;https://openalex.org/W3095862833;CH;Tamedia;FR
Expert Center for Diagnosis and Management of Endometriosis, Department of Gynecology and Obstetrics, Rouen University Hospital, Rouen, France;https://openalex.org/W2509663866;GB;Endometriosis;FR
Expert Center in the Diagnosis and Multidisciplinary Management of Endometriosis, Rouen University Hospital, Rouen, France.;https://openalex.org/W2808902800;GB;Endometriosis;FR
In’Air Solutions, Strasbourg, France;https://openalex.org/W2885605674;US;Air France;FR
In’Air Solutions [Strasbourg, France];https://openalex.org/W4206891445;US;Air France;FR
UMR 228 Espace-Dev, Espace pour le développement;https://openalex.org/W3011426965;BJ;Institut de Recherche pour le Développement;FR
UR Céres (Culture, Éthique, Religion Et Société);https://openalex.org/W4206882391;US;Ceres;FR
[VNU-University of Engineering and Technology, Hanoi, Vietnam];https://openalex.org/W2980091191;PK;University of Engineering and Technology Lahore;VN
VNU University of Engineering and Technology, Hanoi, Vietnam;https://openalex.org/W4200114616;PK;University of Engineering and Technology Lahore;VN
Laboratory of Acoustics, University of Maine, LAUM UMR CNRS, Le Mans, France n 6613 and Innovation of Communication and Cooperative Mobiles, Innov'COM Lab Sup'Com, University of Carthage, Carthage ...#TAB#;https://openalex.org/W2189125709;US;Carthage College;FR
[LAUM UMR CNRS n 6613, Laboratory of Acoustics at University of Maine, France];https://openalex.org/W2886436705;US;University of Maine;FR
Normandie Univ., UNIHAVRE, UNIROUEN, INSA Rouen, LITIS;https://openalex.org/W2754809264;US;Intelligence and National Security Alliance;FR
IRMA, 7 rue René Descartes, 67084 Strasbourg;https://openalex.org/W2123775965;IN;Institute of Rural Management Anand;FR
IRMA, UMR 7501, Univ. de Strasbourg et CNRS;https://openalex.org/W2314947242;IN;Institute of Rural Management Anand;FR
University of Strasbourg, Research Unit7292, DHPI, IUT Louis Pasteur, Schiltigheim, France.;https://openalex.org/W3039309022;LI;Hilti;FR
University of Strasbourg, Research Unit7292, DHPI, IUT Louis Pasteur, Schiltigheim, France;https://openalex.org/W4200205057;LI;Hilti;FR
Institut d'Administration des Entreprises (IAE) - Dijon;https://openalex.org/W3121790706;MA;Institut Supérieur de Commerce et d'Administration des Entreprises;FR
French Armed Forces Biomedical Research Institute, Brétigny-sur-Orge, France;https://openalex.org/W4225126766;US;Biomedical Research Institute;FR
ICube, INSA de Strasbourg 24;https://openalex.org/W2186549517;US;Intelligence and National Security Alliance;FR
IPCMS UMR Unistra‐CNRS 7504 23 rue du Loess, BP 43 67034 Strasbourg Cedex 2 France;https://openalex.org/W3100854845;US;International Pentecostal Holiness Church;FR
Université de Strasbourg, CNRS, IPHC UMR 7178, Laboratoire de Reconnaissance et Procédés de Séparation Moléculaire (RePSeM), ECPM 25 rue Becquerel, F-67000 Strasbourg, France;https://openalex.org/W2777429768;US;International Pentecostal Holiness Church;FR
Université de Strasbourg, CNRS, IPHC, UMR 7178, 25 rue Becquerel 67087 Strasbourg Cedex 2, France;https://openalex.org/W3129415686;US;International Pentecostal Holiness Church;FR
Université de Strasbourg, Institut Pluridisciplinaire Hubert Curien (IPHC) Laboratoire de Reconnaissance et Procédés de Séparation Moléculaire (RePSeM) Strasbourg Cedex 2 France;https://openalex.org/W1980024335;US;International Pentecostal Holiness Church;FR
Laboratoire de Spectrométrie de Masse BioOrganique (LSMBO), IPHC-DSA, Université de Strasbourg, CNRS, UMR7178, 25 rue Becquerel, Strasbourg 67087, France.;https://openalex.org/W601421157;US;International Pentecostal Holiness Church;FR
Faculté de Médecine, LNPCV, Strasbourg, France;https://openalex.org/W271018366;SE;LMV;FR
BioOrganic Mass Spectrometry Laboratory (LSMBO), IPHC, Analytical Sciences Department, Université de Strasbourg, Strasbourg, France IPHC, Analytical Sciences Department, CNRS, UMR7178, Strasbourg, France;https://openalex.org/W2234950698;US;International Pentecostal Holiness Church;FR
LGECO / INSA Strasbourg, 24 Boulevard de la Victoire, 67084 Strasbourg Cedex, France;https://openalex.org/W2464173133;US;Intelligence and National Security Alliance;FR
Design Engineering Laboratory (LGECO), INSA Strasbourg, 24 Boulevard de la Victoire, 67084 Strasbourg Cedex, France#TAB#;https://openalex.org/W2261341576;US;Intelligence and National Security Alliance;FR
Department of Ocean Sciences, Memorial University, St. John's, NL, Canada;https://openalex.org/W3112876488;US;St. John's University;CA
Department of Ocean Sciences, Memorial University, St. John's, NL A1C 5S7, Canada.;https://openalex.org/W2981449407;US;St. John's University;CA
Médecins Sans Frontières, Operational Center Amsterdam, Yangon, Myanmar.;https://openalex.org/W2618762575;UG;Médecins Sans Frontières;MM
Centre de droit privé et de sciences criminelles d'Amiens - UR UPJV 3911;https://openalex.org/W3181000541;CA;Université Laval Faculty of Law;FR
Centre de recherche Droits et perspectives du droit - ULR 4487;https://openalex.org/W4200628906;CA;Université Laval Faculty of Law;FR
Centre de recherche Droits et perspectives du droit - ULR 4487;https://openalex.org/W2576569218;CA;Université Laval Faculty of Law;FR
Consejo Nacional de Ciencia y Tecnología (Conacyt, México). Sistema Nacional Mexicano de Investigadores (SNI);https://openalex.org/W4200629966;GT;Consejo Nacional de Ciencia y Tecnología;MX
Institute of Flight System Dynamics, Technical University of Munich, Boltzmannstrasse 15, 85748 Garching bei München, GERMANY;https://openalex.org/W2794365001;US;Institute of Flight;DE
University Institute of Technology, Department GIM, Lebanese University, Saida, Lebanon;https://openalex.org/W2589784195;IN;University Institute of Technology, Burdwan University;LB
CNRS, IMFT, 31400 Toulouse, France;https://openalex.org/W1456897153;US;IM Flash Technologies;FR
Institut de Mcanique des Fluides de Toulouse (IMFT), Universit de Toulouse, CNRS-INPT-UPS, Toulouse France#TAB#;https://openalex.org/W2580165985;US;IM Flash Technologies;FR
 University of Orleans;https://openalex.org/W2328586335;US;University of New Orleans;FR
Université de Paris, CNRS, Unité de Biologie Fonctionnelle et Adaptative, F-75013, Paris, France.;https://openalex.org/W4226167558;MD;Unité;FR
Institute of Molecular Biology and Biotechnology, Foundation of Research and Technology, Hellas, Greece.;https://openalex.org/W2781612141;BG;Institute of Molecular Biology and Biotechnology;GR
Institute of Chemistry, Martin-Luther-University Halle-Wittenberg;https://openalex.org/W2806522470;DE;Martin Luther University Halle-Wittenberg;SK
CNRS, LAAS, 7, avenue du Colonel Roche, F-31400 Toulouse, France;https://openalex.org/W2063076527;CH;Roche;FR
Colorado State University and Telecom Bretagne;https://openalex.org/W2468087739;FR;École nationale supérieure des télécommunications de Bretagne;US
QualiSud, Univ Montpellier, CIRAD, Montpellier SupAgro, Université D’Avignon, Université de La Réunion, Montpellier, France;https://openalex.org/W2887335799;RE;University of Reunion Island;FR
Institut Médico Légal, 2 place Mazas, 75012, Paris, France.;https://openalex.org/W2902528610;US;American Board of Legal Medicine;FR
CNRS-LAAS, 7 avenue du colonel Roche, F-31400 Toulouse, France;https://openalex.org/W2943968744;CH;Roche;FR
