issue_number,raw_affiliation_name,new_rors,previous_rors,added_rors,removed_rors,has_added_rors,has_removed_rors,works_examples,contact,contact_domain
2632,"Univ Rennes, CNRS, CREM - UMR 6211, F-35000 Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4317598146,f585b8588d0dec0d3e6375a7683c9356:c37f717d24da6fcc07d1c1e81e78c9b8 @ univ-rennes.fr,univ-rennes.fr
2631,"Univ Rennes, CNRS, CREM – UMR 6211  Rennes France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4385458554,613640f7b370fe9543c447d9cbb8b86e:d4725de68046ba2ad59ae10358cb68aa @ univ-rennes.fr,univ-rennes.fr
2630,"CNRS, CREM - UMR 6211, University of Rennes, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4391311369,b41b8214a5d94c60ae5bbef14d4124c9:cb568bbb1dfa2cb1614e0bdc2c4f7b2e @ univ-rennes.fr,univ-rennes.fr
2629,"Maître de conférences, CNRS, CREM – UMR6211, Université de Rennes 1.L'auteur remercie le professeur Jean-Jacques Durand pour sa relecture attentive et ses commentaires précieux.",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4318476609,de0baeb9934b114491bf9ffac35f3230:e20554df8b24c45f5c27cdd9fe7aa557 @ univ-rennes.fr,univ-rennes.fr
2628,"Adresse : 7, Place Hoche - 35065 Rennes cedex.","raw_affiliation_name: Maître de conférences à la faculté des Sciences économiques, université de Rennes 1, membre permanent du Crem - UMR 6211.","Adresse : 7, Place Hoche - 35065 Rennes cedex.","raw_affiliation_name: Maître de conférences à la faculté des Sciences économiques, université de Rennes 1, membre permanent du Crem - UMR 6211.","Adresse : 7, Place Hoche - 35065 Rennes cedex.",True,True,new_rors: 015m7wh34;0047rmf80,previous_rors: 015m7wh34,
2627,"Adresse : 7, Place Hoche - 35065 Rennes cedex.","raw_affiliation_name: Professeure à la faculté des Sciences économiques, université de Rennes 1, membre permanent du Crem - UMR 6211.","Adresse : 7, Place Hoche - 35065 Rennes cedex.","raw_affiliation_name: Professeure à la faculté des Sciences économiques, université de Rennes 1, membre permanent du Crem - UMR 6211.","Adresse : 7, Place Hoche - 35065 Rennes cedex.",True,True,new_rors: 015m7wh34;0047rmf80,previous_rors: 015m7wh34,
2626,"CREM-UMR 6211, University of Rennes, 35000 Rennes, France",015m7wh34;0047rmf80,015m7wh34,0047rmf80,,True,False,W4385690140,06ab139c3136e19436f1cb53466df259:7615577cc9ba4897a00cd95a55a717dd @ univ-rennes.fr,univ-rennes.fr
2625,"Department of Management, University of Rennes, CNRS NeuroLab CREM (UMR 6211), Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4322012851,309818935ac5c57c33ab4dfe869fecf1:7ff868a037d047671db5a82629129ed0 @ univ-rennes.fr,univ-rennes.fr
2624,"Department of Management, University of Rennes, CNRS NeuroLab CREM (UMR 6211), Rennes, France",02feahw73;015m7wh34;0047rmf80,02feahw73;015m7wh34,0047rmf80,,True,False,W4322012851,3dac9aff268fabb17e5847a32b94249d:8630bacfcedb4e2fb38ff42fb49db984 @ univ-rennes.fr,univ-rennes.fr
2623,"Université de Rennes, CNRS, CREM - UMR 6211, F-35000 Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4386035076,2eea5489b4c142dd20e92bdb80e52905:720e24907a853e517e2368fd5fc8b64a @ univ-rennes.fr,univ-rennes.fr
2622,"Université de Rennes 1, CNRS, CREM - UMR 6211, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4389681344,5678806ff8c1b29634f64872833ecabd:1f6c01850a4ec665401413f3ec4eabc3 @ univ-rennes.fr,univ-rennes.fr
2621,"Université de Rennes, CAPHI EA 7463",015m7wh34;059ynac98,015m7wh34,059ynac98,,True,False,W4387973465,1317d5f6e734aac89625f54b4733eb82:c94b635f57e0b14096d309853521e52c @ univ-rennes.fr,univ-rennes.fr
2620,Bâtiment 24-25 Campus de Beaulieu,"263, Avenue du général Leclerc",Campus de Beaulieu,"263, Avenue du général Leclerc",Campus de Beaulieu,True,True,CS 74205 -,35042 Rennes Cedex- France - France),
2619,"Institut Pasteur, Université Paris Cité, Emerging Disease Epidemiology Unit, 75015 Paris, France; Université Rennes, EHESP, CNRS, Inserm, Arènes - UMR 6051, RSMS (Recherche sur les Services et Management en Santé) - U1309 – 35000 Rennes, France",02vjkv261;01sc83v92;02feahw73;0495fxg12;05f82e368;00m4rxj18,02vjkv261;01sc83v92;02feahw73;0495fxg12;05f82e368,00m4rxj18,,True,False,W4388766248,25e8184c5393f127a1260cbea17e7729:427fb0c045dd99d917e134c994112451 @ univ-rennes.fr,univ-rennes.fr
2618,"Université Rennes, EHESP, CNRS, Inserm, Arènes - UMR 6051, RSMS (Recherche sur les Services et Management en Santé) - U1309 – 35000 Rennes, France",02vjkv261;01sc83v92;02feahw73;00m4rxj18,02vjkv261;01sc83v92;02feahw73,00m4rxj18,,True,False,W4388766248,7c7578a12c9947138a2423805b23b1c4:27dbd975b0a14c4bc63f328b294df415 @ univ-rennes.fr,univ-rennes.fr
2617,"Université de Rennes, EHESP, CNRS, Inserm, Arènes–UMR 6051, RSMS (Research on Services, Management in Health), U 1309, Rennes, France",02vjkv261;01sc83v92;015m7wh34;02feahw73;00m4rxj18,02vjkv261;01sc83v92;015m7wh34;02feahw73,00m4rxj18,,True,False,W4386530000,4554724d63c7a887aabe5cd48594b578:641c2392e75ccf2bb5b323cde2617dee @ univ-rennes.fr,univ-rennes.fr
2616,"LEPS Laboratoire Éducations et Promotion de Santé, Université Paris 13 , Bobigny, France; Université de Rennes, EHESP, CNRS, Inserm, Arènes - UMR 6051, RSMS – U 1309, Rennes , France",02feahw73;01sc83v92;0199hds37;02vjkv261;015m7wh34;00m4rxj18,02feahw73;01sc83v92;0199hds37;02vjkv261;015m7wh34,00m4rxj18,,True,False,W4387354126,e746cf41e4464c2c1b178122bc590b6a:bd0056f5f25c4d93cbd8930f57548064 @ univ-rennes.fr,univ-rennes.fr
2615,"Université Rennes, Arènes UMR 6051",015m7wh34;00m4rxj18,015m7wh34,00m4rxj18,,True,False,W4322504808;W4322485721,94699b111d1473ddbd92072f3170f865:82b562b58070060b28ca731f860d8c6d @ univ-rennes.fr,univ-rennes.fr
2614,"Institut de recherche mathématique de Rennes, UMR 6625 du CNRS, Université de Rennes, Campus de Beaulieu, 35042 Rennes cedex, France",015m7wh34;02feahw73;05y76vp22,015m7wh34;02feahw73,05y76vp22,,True,False,W4292222506,37c0fe161a0aa88d1ba4e6ee26d0b30b:3568b9b92ce314fd1ec3b260d76dbe03 @ univ-rennes.fr,univ-rennes.fr
2613,"Hybrid Team, University of Rennes, Irisa, UMR CNRS,Rennes,France,6074",015m7wh34;02feahw73;00myn0z94,015m7wh34;02feahw73,00myn0z94,,True,False,W4391331237,1a025ca06d4183faa6379979f3fd3fa9:4e7cf299185189db1853df11ec9f6dd8 @ univ-rennes.fr,univ-rennes.fr
2612,"Univ Rennes, CNRS, IETR (Institut d’Électronique et des Technologies du numéRique)-UMR 6164",017h2rd72;015m7wh34;02feahw73;013q33h79,017h2rd72;015m7wh34;02feahw73,013q33h79,,True,False,W4387021918;W4389849487,13cfb229dbf4071280f600f24d9dbb98:778e2b4e54a83918fa8a5d92bafdbfbc @ univ-rennes.fr,univ-rennes.fr
2611,"Institut d&#x0027;Electronique et des Technologies du num&#x00E9;Rique, Universit&#x00E9; de Rennes, UMR CNRS 6164, Cedex Rennes, France",015m7wh34;02feahw73;013q33h79,015m7wh34;02feahw73,013q33h79,,True,False,W4385569774,1edc53082ef1e92bca734a25f882a800:86793b5c4d119408c8f1169966280029 @ univ-rennes.fr,univ-rennes.fr
2610,"Institut d'Électronique et des Technologies du numéRique, UMR Centre National de la Recherche Scientifique 6164 University of Rennes 1 Rennes France",015m7wh34;013q33h79,015m7wh34,013q33h79,,True,False,W4317567587,855a5ff76a35e44f8dad016d9ebfc4af:7ff4923b9649b3e0b59b13e8212d7f72 @ univ-rennes.fr,univ-rennes.fr
2609,"Univ Rennes, CNRS, Institut Foton UMR 6082, 35000 Rennes, France",015m7wh34;02feahw73;03yn94905,015m7wh34;02feahw73,03yn94905,,True,False,W4387738689,0ac3cea2433cc4aec4a195888b6b97b4:d821c21ff9c662245fde53dabcaf4448 @ univ-rennes.fr,univ-rennes.fr
2608,"Ecole Nationale Supérieure de Chimie de Rennes, Université Rennes, CNRS, ISCR-UMR 6226, 35000 Rennes, France",01h0ffh48;02feahw73;00adwkx90,01h0ffh48;02feahw73,00adwkx90,,True,False,W4388205932,f51782e9c5aae3e765b2eaa4448aa26c:52afb2e24e662c26c2eafe26ab68ffb3 @ univ-rennes.fr,univ-rennes.fr
2607,CNRS ISCR‐UMR 6226 Université de Rennes  Rennes F‐35000 France,015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4379743756,0100d61432428838a3e0c90667a59b13:0bbcb36dfed5da8105b623a9dce10ceb @ univ-rennes.fr,univ-rennes.fr
2606,"Ecole Nationale Supérieure de Chimie de Rennes, CNRS, ISCR—UMR 6226, University of Rennes, 35065 Rennes, France",01h0ffh48;015m7wh34;02feahw73;00adwkx90,01h0ffh48;015m7wh34;02feahw73,00adwkx90,,True,False,W4378515589,510b4e719b7d3c6d7fbf9c4371f5a3a4:a3e7c8c60e88ae6ec6acad8fce8eb51b @ univ-rennes.fr,univ-rennes.fr
2605,"Ecole Nationale Supérieure de Chimie de Rennes, CNRS, ISCR—UMR 6226, University of Rennes, 35065 Rennes, France",015m7wh34;02feahw73;01h0ffh48;00adwkx90,015m7wh34;02feahw73;01h0ffh48,00adwkx90,,True,False,W4378515589,4802f38fb6a27c0e9151ca139c2ec7a7:99ff498e976757a35f17b48a072621e2 @ univ-rennes.fr,univ-rennes.fr
2604,"University of Rennes, Ecole Nationale Supérieure de Chimie de Rennes, CNRS, ISCR-UMR 6226, 35000, Rennes, France",015m7wh34;01h0ffh48;02feahw73;00adwkx90,015m7wh34;01h0ffh48;02feahw73,00adwkx90,,True,False,W4388140972,b2e2b18e525b03794fb73a436bc32ce2:8f6c61df52a07567a399bf7d08715f57 @ univ-rennes.fr,univ-rennes.fr
2603,"Univ Rennes, CNRS, ISCR - UMR 6226 Rennes France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4323348508,89c74faeaeb7511d3a75bb84d940b473:6f081e492951193463df6e09622d2e8a @ univ-rennes.fr,univ-rennes.fr
2602,University of Rennes Institute for Chemical Sciences in Rennes (ISCR) CNRS UMR 6226  Avenue du Général Leclerc 35042 Rennes Cedex France,015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4387973719,1d72661c1eb0881524e8a99601d050f1:45125522223cab020925f8e31523729a @ univ-rennes.fr,univ-rennes.fr
2601,"University of Rennes, ISCR, UMR CNRS 6226, 35000 Rennes, France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4353062950;W4377007207,3a711305d1f777bf34a27ce3f05d49cf:1de433137a57df11d86444cb434e922f @ univ-rennes.fr,univ-rennes.fr
2600,"ISCR, UMR 6226 (UL-CNRS) Université de Rennes 1, Campus de Beaulieu - Bâtiment 10B, F 35042Rennes Cedex, France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4319293500,f24df74ec5ba993be2ad498058b7d438:e2c55927d7cf6068fe2609a152df6524 @ univ-rennes.fr,univ-rennes.fr
2599,"Institut de Recherche sur les Céramiques (IRCER), UMR CNRS 7315, Université de Limoges, Centre Européen de la Céramique, 87068 Limoges, France; Rennes Institute of Chemical Sciences (ISCR), UMR CNRS 6226, University of Rennes, 35042 Rennes, France",015m7wh34;02feahw73;04k4pxr75;02cp04407;00adwkx90,015m7wh34;02feahw73;04k4pxr75;02cp04407,00adwkx90,,True,False,W4366498065,565e9256032c2b8eebce581c5591e987:33e480010a281cb86763f18b73d89600 @ univ-rennes.fr,univ-rennes.fr
2598,"Univ. Rennes, Ecole Nationale Supérieure de Chimie de Rennes, CNRS, UMR 6226, 35708 Rennes Cedex 7, France",01h0ffh48;015m7wh34;02feahw73;00adwkx90,01h0ffh48;015m7wh34;02feahw73,00adwkx90,,True,False,W4311306012;W4312071447,1b74afaf28a1bfd4d16500203b8735a8:d98275f69092c9fc23e77758d832d8dc @ univ-rennes.fr,univ-rennes.fr
2597,"Université de Rennes 1, ENSCR, CNRS, UMR 6226 Avenue du Général Leclerc, CS 50837, 35708 Rennes Cedex 7, France",015m7wh34;01h0ffh48;02feahw73;00adwkx90,015m7wh34;01h0ffh48;02feahw73,00adwkx90,,True,False,W3102094392,10f2bb6bd4a795edc3106ddf003f671a:2770d2a9a0e20f32c8e9da053691d1fd @ univ-rennes.fr,univ-rennes.fr
2596,UMR 6226 CNRS – University of Rennes 1,015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4387665734,6126f17e62152aea193c0e4994b64ed3:8bd63ac9a25dab50118323747fd2699f @ univ-rennes.fr,univ-rennes.fr
2595,UMR 6226 CNRS -University of Rennes; University of Tlemcen T. Roisnel,043vm9914;015m7wh34;00adwkx90,043vm9914;015m7wh34,00adwkx90,,True,False,W4387665734,29f2d11953e77506ab64c81290f43ac1:ec5163a66c0072b0759a6f4b0b43ef42 @ univ-rennes.fr,univ-rennes.fr
2594,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR - UMR 6226, F-35000, Rennes, France",04xaa4j22;015m7wh34;01h0ffh48;02feahw73;00adwkx90,04xaa4j22;015m7wh34;01h0ffh48;02feahw73,00adwkx90,,True,False,W4386139146,746948ace110ae67db574274654fc784:cd37c4c3f711ef601edfc5432e8f624b @ univ-rennes.fr,univ-rennes.fr
2593,"National Center for Scientific Research (CNRS), National School of Chemistry of Rennes, University of Rennes, ISCR-UMR6226, F-35000 Rennes, France ;",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4377690838,4007efeb5b14a27de01935f362143950:ef90ee666b37fe001b32100385dd72bc @ univ-rennes.fr,univ-rennes.fr
2592,"Department of Chemistry, Al Imam Mohammad Ibn Saud Islamic University (IMISIU), P.O. Box 5701, Ri-yadh 11432, Saudi Arabia; National Center for Scientific Research (CNRS), National School of Chemistry of Rennes, University of Rennes, ISCR-UMR6226, F-35000 Rennes, France ;",015m7wh34;05gxjyb39;02feahw73;00adwkx90,015m7wh34;05gxjyb39;02feahw73,00adwkx90,,True,False,W4377690838,3434fa7b67e281e0f6230d3efe3f5dde:dda074d70c5c984ea44cb2277bd029cb @ univ-rennes.fr,univ-rennes.fr
2591,"Univ Rennes, CNRS, ISCR-UMR 6226, ScanMAT−UMS 2001, F-35000Rennes, France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4318068908,801acbfa90171befb4db2d6bc6ffdd89:cf51ddc49eb3db2d89b39510cc8ccf5e @ univ-rennes.fr,univ-rennes.fr
2590,"CNRS, ISCR UMR 6226 ScanMAT UAR 2025 Université Rennes  Rennes F‐35000 France; CNRS-Saint Gobain-NIMS, IRL 3629 Laboratory for Innovative Key Materials and Structures (LINK) NIMS Tsukuba 305-0044 Japan",026v1ze26;015m7wh34;02feahw73;00adwkx90,026v1ze26;015m7wh34;02feahw73,00adwkx90,,True,False,W4389194071,6e3cb9f90cf04c144253e621f2bc0992:04fd218d75616abad366131b358e0642 @ univ-rennes.fr,univ-rennes.fr
2589,"University of Rennes1, ISCR-UMR, 6226, Rennes, France",015m7wh34;00adwkx90,015m7wh34,00adwkx90,,True,False,W4309078582,20a8642f81cd723d61f81c7a8262a019:e27c9a449a0c42af3a9e26b65bbb6821 @ univ-rennes.fr,univ-rennes.fr
2588,"Univ Rennes, École Nationale Supérieure de Chimie de Rennes, CNRS, ISCR – UMR6226, F-35000 Rennes, France",01h0ffh48;015m7wh34;02feahw73;00adwkx90,01h0ffh48;015m7wh34;02feahw73,00adwkx90,,True,False,W4376126242;W4311302651;W4319311796;W4384153568,206c36705fef4918fdabffe38dfc7c1c:4364e2ac587695c7e59d9893271ea0ff @ univ-rennes.fr,univ-rennes.fr
2587,"Univ Rennes, CNRS, Géosciences Rennes - UMR 6118, F-35000 Rennes, France; Univ Rennes, École Nationale Supérieure de Chimie de Rennes, CNRS, ISCR – UMR6226, F-35000 Rennes, France",00vn0zc62;01h0ffh48;015m7wh34;02feahw73;00adwkx90,00vn0zc62;01h0ffh48;015m7wh34;02feahw73,00adwkx90,,True,False,W4376126242,71a2de4118d4752c278e1916c89d14fa:4acea651073a5c869fad318002b8cdc8 @ univ-rennes.fr,univ-rennes.fr
2586,"National Center for Scientific Research (CNRS), National School of Chemistry of Rennes, University of Rennes, ISCR—UMR6226, F-35000 Rennes, France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4387641322,f43edab6e6d61fcc3faacbd200fec610:3aee25980ea14ca3ca0cc489ee5fdbd7 @ univ-rennes.fr,univ-rennes.fr
2585,"Department of Chemistry, Al Imam Mohammad Ibn Saud Islamic University (IMISIU), P.O. Box 5701, Riyadh 11432, Saudi Arabia; National Center for Scientific Research (CNRS), National School of Chemistry of Rennes, University of Rennes, ISCR—UMR6226, F-35000 Rennes, France",015m7wh34;02feahw73;05gxjyb39;00adwkx90,015m7wh34;02feahw73;05gxjyb39,00adwkx90,,True,False,W4387641322,69122ea40de7a0c37d6b02c302d19bd7:36b0c56cee75ea515f632c0f86d7efde @ univ-rennes.fr,univ-rennes.fr
2584,"Université de Rennes, CNRS, ISCR-UMR 6226, F-35000 Rennes, France",015m7wh34;02feahw73;00adwkx90,015m7wh34;02feahw73,00adwkx90,,True,False,W4383896488,1fe6b56b5a7223f4cb144211a6c2c5fe:7aeec916b6ed14c366c4a509118be83c @ univ-rennes.fr,univ-rennes.fr
